
## PHerc Paris 4 hires-256 (ink/fiber-rich)  (256x256x256, 16.8 MB, atom=16^3, HF slope 0.50)

### target 16x  (q-knob proxy ~16)
  dz  |  ro   | ratio  |  PSNR | dPSNR | MS-SSIM |   GMSD  | HaarPSI | edgeMAE |  seam16
 0.45 | 0.300 | 64.22x | 34.48 | +0.00 |  0.9209 | 0.12961 |  0.9352 |  10.743 |   5.626
 0.45 | 0.375 | 64.22x | 34.49 | +0.00 |  0.9205 | 0.13034 |  0.9345 |  10.703 |   5.878
 0.45 | 0.400 | 64.22x | 34.45 | +0.00 |  0.9199 | 0.13087 |  0.9341 |  10.740 |   5.977
 0.45 | 0.450 | 64.22x | 34.32 | +0.00 |  0.9182 | 0.13237 |  0.9330 |  10.892 |   6.196
 0.45 | 0.500 | 64.22x | 34.11 | +0.00 |  0.9158 | 0.13439 |  0.9317 |  11.149 |   6.442
 0.50 | 0.300 | 64.03x | 34.66 | +0.00 |  0.9230 | 0.12862 |  0.9364 |  10.621 |   5.444
 0.50 | 0.375 | 64.03x | 34.70 | +0.00 |  0.9230 | 0.12883 |  0.9359 |  10.546 |   5.662
 0.50 | 0.400 | 64.03x | 34.68 | +0.00 |  0.9227 | 0.12918 |  0.9356 |  10.559 |   5.741
 0.50 | 0.450 | 64.03x | 34.57 | +0.00 |  0.9214 | 0.13035 |  0.9347 |  10.664 |   5.936
 0.50 | 0.500 | 64.03x | 34.40 | +0.00 |  0.9196 | 0.13189 |  0.9336 |  10.848 |   6.147  <-baseline
 0.55 | 0.300 | 64.10x | 34.78 | +0.37 |  0.9243 | 0.12812 |  0.9371 |  10.562 |   5.328
 0.55 | 0.375 | 64.10x | 34.83 | +0.42 |  0.9246 | 0.12807 |  0.9368 |  10.465 |   5.517
 0.55 | 0.400 | 64.10x | 34.81 | +0.41 |  0.9244 | 0.12826 |  0.9366 |  10.465 |   5.590
 0.55 | 0.450 | 64.10x | 34.74 | +0.34 |  0.9235 | 0.12905 |  0.9359 |  10.527 |   5.752
 0.55 | 0.500 | 64.10x | 34.60 | +0.20 |  0.9220 | 0.13024 |  0.9350 |  10.657 |   5.940
 0.60 | 0.300 | 63.94x | 34.88 | +0.47 |  0.9254 | 0.12777 |  0.9377 |  10.504 |   5.231
 0.60 | 0.375 | 63.94x | 34.94 | +0.54 |  0.9259 | 0.12740 |  0.9376 |  10.391 |   5.387
 0.60 | 0.400 | 63.94x | 34.93 | +0.53 |  0.9258 | 0.12753 |  0.9374 |  10.384 |   5.451
 0.60 | 0.450 | 63.94x | 34.87 | +0.47 |  0.9251 | 0.12810 |  0.9368 |  10.418 |   5.604
 0.60 | 0.500 | 63.94x | 34.76 | +0.36 |  0.9240 | 0.12900 |  0.9361 |  10.514 |   5.772
 0.65 | 0.300 | 64.31x | 34.92 | +0.52 |  0.9258 | 0.12780 |  0.9379 |  10.497 |   5.181
 0.65 | 0.375 | 64.31x | 34.99 | +0.58 |  0.9263 | 0.12732 |  0.9378 |  10.381 |   5.323
 0.65 | 0.400 | 64.31x | 34.98 | +0.58 |  0.9263 | 0.12729 |  0.9377 |  10.364 |   5.381
 0.65 | 0.450 | 64.31x | 34.94 | +0.54 |  0.9258 | 0.12771 |  0.9373 |  10.382 |   5.518
 0.65 | 0.500 | 64.31x | 34.85 | +0.45 |  0.9249 | 0.12841 |  0.9366 |  10.452 |   5.670
 0.70 | 0.300 | 64.11x | 34.99 | +0.58 |  0.9264 | 0.12761 |  0.9382 |  10.458 |   5.122
 0.70 | 0.375 | 64.11x | 35.05 | +0.65 |  0.9271 | 0.12707 |  0.9382 |  10.339 |   5.260
 0.70 | 0.400 | 64.11x | 35.05 | +0.65 |  0.9270 | 0.12705 |  0.9381 |  10.323 |   5.311
 0.70 | 0.450 | 64.11x | 35.02 | +0.61 |  0.9267 | 0.12729 |  0.9378 |  10.327 |   5.437
 0.70 | 0.500 | 64.11x | 34.94 | +0.54 |  0.9260 | 0.12784 |  0.9372 |  10.379 |   5.574
 0.80 | 0.300 | 63.88x | 35.08 | +0.68 |  0.9275 | 0.12721 |  0.9388 |  10.403 |   5.029
 0.80 | 0.375 | 63.88x | 35.14 | +0.74 |  0.9281 | 0.12665 |  0.9388 |  10.292 |   5.145
 0.80 | 0.400 | 63.88x | 35.15 | +0.74 |  0.9282 | 0.12656 |  0.9388 |  10.269 |   5.189
 0.80 | 0.450 | 63.88x | 35.13 | +0.73 |  0.9281 | 0.12661 |  0.9385 |  10.255 |   5.287
 0.80 | 0.500 | 63.88x | 35.08 | +0.68 |  0.9276 | 0.12692 |  0.9382 |  10.276 |   5.400

### target 128x  (q-knob proxy ~128)
  dz  |  ro   | ratio  |  PSNR | dPSNR | MS-SSIM |   GMSD  | HaarPSI | edgeMAE |  seam16
------+-------+--------+-------+-------+---------+---------+---------+---------+--------
 0.40 | 0.300 | 127.47x | 30.77 | +0.00 |  0.8426 | 0.17104 |  0.8995 |  14.959 |   8.489
 0.40 | 0.375 | 127.47x | 30.69 | +0.00 |  0.8409 | 0.17140 |  0.8992 |  15.043 |   8.993
 0.40 | 0.400 | 127.47x | 30.62 | +0.00 |  0.8396 | 0.17196 |  0.8988 |  15.148 |   9.187
 0.40 | 0.450 | 127.47x | 30.43 | +0.00 |  0.8364 | 0.17323 |  0.8977 |  15.433 |   9.592
 0.40 | 0.500 | 127.47x | 30.16 | +0.00 |  0.8320 | 0.17522 |  0.8962 |  15.867 |  10.055
 0.45 | 0.300 | 128.14x | 30.94 | +0.00 |  0.8453 | 0.17090 |  0.9003 |  14.849 |   8.189
 0.45 | 0.375 | 128.14x | 30.90 | +0.00 |  0.8446 | 0.17080 |  0.9003 |  14.845 |   8.619
 0.45 | 0.400 | 128.14x | 30.86 | +0.00 |  0.8438 | 0.17102 |  0.9001 |  14.900 |   8.779
 0.45 | 0.450 | 128.14x | 30.71 | +0.00 |  0.8414 | 0.17188 |  0.8993 |  15.097 |   9.135
 0.45 | 0.500 | 128.14x | 30.49 | +0.00 |  0.8379 | 0.17328 |  0.8982 |  15.413 |   9.541
 0.50 | 0.300 | 127.51x | 31.11 | +0.00 |  0.8486 | 0.17047 |  0.9015 |  14.723 |   7.921
 0.50 | 0.375 | 127.51x | 31.11 | +0.00 |  0.8485 | 0.16993 |  0.9017 |  14.663 |   8.292
 0.50 | 0.400 | 127.51x | 31.07 | +0.00 |  0.8479 | 0.16998 |  0.9016 |  14.691 |   8.438
 0.50 | 0.450 | 127.51x | 30.96 | +0.00 |  0.8462 | 0.17041 |  0.9011 |  14.813 |   8.741
 0.50 | 0.500 | 127.51x | 30.79 | +0.00 |  0.8438 | 0.17131 |  0.9003 |  15.027 |   9.070  <-baseline
 0.55 | 0.300 | 128.18x | 31.21 | +0.42 |  0.8500 | 0.17067 |  0.9018 |  14.680 |   7.719
 0.55 | 0.375 | 128.18x | 31.23 | +0.44 |  0.8504 | 0.16981 |  0.9023 |  14.576 |   8.043
 0.55 | 0.400 | 128.18x | 31.21 | +0.42 |  0.8501 | 0.16983 |  0.9023 |  14.582 |   8.164
 0.55 | 0.450 | 128.18x | 31.13 | +0.34 |  0.8490 | 0.16991 |  0.9020 |  14.645 |   8.422
 0.55 | 0.500 | 128.18x | 31.00 | +0.21 |  0.8472 | 0.17044 |  0.9015 |  14.786 |   8.716
 0.60 | 0.300 | 127.70x | 31.31 | +0.52 |  0.8519 | 0.17028 |  0.9025 |  14.598 |   7.594
 0.60 | 0.375 | 127.70x | 31.33 | +0.54 |  0.8525 | 0.16940 |  0.9030 |  14.488 |   7.885
 0.60 | 0.400 | 127.70x | 31.32 | +0.52 |  0.8523 | 0.16929 |  0.9030 |  14.484 |   7.996
 0.60 | 0.450 | 127.70x | 31.25 | +0.46 |  0.8515 | 0.16936 |  0.9029 |  14.527 |   8.233
 0.60 | 0.500 | 127.70x | 31.14 | +0.35 |  0.8500 | 0.16964 |  0.9024 |  14.633 |   8.493
 0.65 | 0.300 | 127.85x | 31.38 | +0.58 |  0.8529 | 0.17034 |  0.9028 |  14.569 |   7.470
 0.65 | 0.375 | 127.85x | 31.41 | +0.62 |  0.8538 | 0.16944 |  0.9034 |  14.444 |   7.721
 0.65 | 0.400 | 127.85x | 31.40 | +0.61 |  0.8537 | 0.16917 |  0.9035 |  14.427 |   7.822
 0.65 | 0.450 | 127.85x | 31.35 | +0.56 |  0.8532 | 0.16909 |  0.9034 |  14.441 |   8.035
 0.65 | 0.500 | 127.85x | 31.27 | +0.47 |  0.8521 | 0.16921 |  0.9032 |  14.509 |   8.267
 0.70 | 0.300 | 127.86x | 31.43 | +0.63 |  0.8536 | 0.17071 |  0.9029 |  14.540 |   7.408
 0.70 | 0.375 | 127.86x | 31.46 | +0.67 |  0.8545 | 0.16969 |  0.9035 |  14.415 |   7.647
 0.70 | 0.400 | 127.86x | 31.46 | +0.66 |  0.8545 | 0.16953 |  0.9036 |  14.396 |   7.733
 0.70 | 0.450 | 127.86x | 31.42 | +0.62 |  0.8541 | 0.16917 |  0.9036 |  14.393 |   7.931
 0.70 | 0.500 | 127.86x | 31.34 | +0.55 |  0.8533 | 0.16930 |  0.9034 |  14.444 |   8.140
 0.80 | 0.300 | 128.11x | 31.50 | +0.70 |  0.8545 | 0.17127 |  0.9030 |  14.517 |   7.275
 0.80 | 0.375 | 128.11x | 31.53 | +0.74 |  0.8554 | 0.17017 |  0.9036 |  14.391 |   7.481
 0.80 | 0.400 | 128.11x | 31.53 | +0.74 |  0.8555 | 0.17000 |  0.9037 |  14.369 |   7.554
 0.80 | 0.450 | 128.11x | 31.51 | +0.72 |  0.8555 | 0.16968 |  0.9039 |  14.348 |   7.721
 0.80 | 0.500 | 128.11x | 31.46 | +0.67 |  0.8550 | 0.16947 |  0.9038 |  14.363 |   7.896

## PHerc Paris 4 coarse-256  (256x256x256, 16.8 MB, atom=16^3, HF slope 0.50)

### target 16x  (q-knob proxy ~16)
  dz  |  ro   | ratio  |  PSNR | dPSNR | MS-SSIM |   GMSD  | HaarPSI | edgeMAE |  seam16
------+-------+--------+-------+-------+---------+---------+---------+---------+--------
 0.40 | 0.300 | 15.96x | 32.04 | +0.00 |  0.9484 | 0.10788 |  0.9523 |  15.698 |   7.388
